date_time,city,state_province,country,ufo_shape,length_of_encounter_seconds,described_duration_of_encounter,description,date_documented,latitude,longitude
2014-03-14 21:30:00,philipsburg,pa,us,triangle,2400,40 minutes,My wife noted a strange object hovering to the east of our residence.  She called me to the window to see it.  It was several hundred y,2014-03-27,40.8963889,-78.2208333
2014-03-14 22:00:00,rochester,ny,us,unknown,300,5 minutes,4 white lights rotating in the sky&#44right within the clouds.,2014-03-18,43.1547222,-77.6158333
2014-03-15 00:00:00,chester heights,pa,us,unknown,120,2 minutes,BOOMS GOT PROGRESSIVELY LOUDER.,2014-03-18,39.89,-75.4758333
2014-03-15 00:00:00,vancouver,wa,us,light,10800,~3 hours,Fleets of &quot;Star&quot; or &quot;Light&quot; Crafts Seen Flying Over Vancouver&#44 WA&#44 on 3/14/2014.,2014-03-18,45.6388889,-122.6602778
2014-03-15 02:30:00,gun barrel city,tx,us,unknown,120,2 minutes,Huge orange pulsating light seen from hwy198 on bridge in Gun Barrel City&#44 Texas&#44 on 03/15/2014.,2014-03-18,32.3344444,-96.1511111
2014-03-15 06:55:00,taylorsville,ut,us,triangle,120,2 minutes,A Rectangular object with red&#44 blue and white lights was hovering early in the morning.,2014-03-18,40.6677778,-111.9380556
2014-03-15 07:45:00,fontana,ca,us,fireball,10,10 seconds,I believe that I witnessed a ufo&#44 star&#44 or planet disintegrating.,2014-03-18,34.0922222,-117.4341667
2014-03-15 15:30:00,hazlet,nj,us,triangle,4,4 seconds,It was a V shaped craft moving at a speed west to east 3 to 4 times faster than any jet. Its V shape against the blue sky was clear.,2014-03-21,40.4155556,-74.1913889
2014-03-15 20:40:00,middlesex,nc,us,circle,900,15 minutes,Triangle shaped movement&#44 Full moon&#44 ides of march&#44 weird shaped clouds,2014-03-18,35.79,-78.2041667
2014-03-15 21:16:00,hermann,mo,us,circle,300,5 minutes,Red orb shape with no flashing lights&#44 moving quickly across sky then disappeared very quickly,2014-03-18,38.7041667,-91.4372222
2014-03-15 21:30:00,orangevale,ca,us,light,1800,30 minutes,40 independent orange lights seen traveling over Orangevale  CA,2014-03-18,38.6786111,-121.2247222
2014-03-15 21:50:00,orangevale,ca,us,light,600,10 minutes,Bright Amber Intelligently controlled Aircraft rising like bees from a hive in Orangevale&#44 CA.,2014-04-11,38.6786111,-121.2247222
2014-03-15 22:00:00,new milford,ct,us,cigar,7200,2 hours,Elongated&#44 lit shapes above New Milford.,2014-03-18,41.5769444,-73.4088889
2014-03-15 23:00:00,davie,fl,us,light,60,60 seconds,Amber lights over I-75...definitely not an aircraft on approach.,2014-03-18,26.0625,-80.2333333
2014-03-15 23:00:00,russellville,tn,us,circle,30,30 seconds,Floating object brighter than plane/ star no noise&#44 didnt move until i found it with my spotting scope. roughly 1/3 mile away from me.,2014-03-27,36.2586111,-83.1952778
2014-03-15 23:30:00,charleston,sc,us,sphere,240,4 minutes,Sphere with red glow within and bright orange light beneath&#44 chased by helicopter.,2014-03-18,32.7763889,-79.9311111
2014-03-15 23:30:00,miami,fl,us,circle,180,3 minutes,HI&#44 WELL THIS IS REALLY INCREDIBLE&#44 BECAUSE I PERSONALY DO NOT BELIEVE IN THIS THINGS&#44 BUT LAST NIGHT 3/15/2014&#44I LIVE IN MIAMI LAKES I,2014-03-18,25.7738889,-80.1938889
2014-03-16 00:15:00,beaverton,or,us,circle,600,10 minutes,Blue light orb that changes colors to red and white.,2014-03-18,45.4872222,-122.8025
2014-03-16 00:40:00,hayden,id,us,diamond,240,4 minutes,Two extremely bright&#44 course-changing red lights were seen to the west of Hayden&#44 towards Post Falls.,2014-03-18,47.7661111,-116.7855556
2014-03-16 01:25:00,sweetwater,tn,us,triangle,10800,3 hours,((HOAX??))  I was setting in my room when i heard a low bass like sound so like i would normally do i got up to see,2014-03-18,35.6013889,-84.4611111
2014-03-16 02:20:00,fresno,ca,us,fireball,240,<4 minutes,Orange fireball moved across sky&#44 hovered over my house&#44 went high into the sky&#44 then light disappeared as it went to a larger craft.,2014-03-21,36.7477778,-119.7713889
2014-03-16 07:00:00,shreveport,la,us,flash,5,<5 seconds,Some type of craft of light speed.,2014-03-18,32.525,-93.75
2014-03-16 20:10:00,birmingham,al,us,light,600,8-10 minutes,20-30 bright orange spheres flying in two&#39s or three&#39s&#44 travelling from southwest to northeast without sound,2014-03-18,33.5205556,-86.8025
2014-03-16 22:00:00,philadelphia,pa,us,circle,30,30 seconds,((HOAX??)) Six black UFO&#39s over NE Philadelphia--blue and red lights.,2014-03-18,39.9522222,-75.1641667
2014-03-17 02:00:00,charlotte,nc,us,other,3600,1 hour,Alien Abduction with provable markings left on the body.,2014-03-21,35.2269444,-80.8433333
2014-03-17 06:57:00,taylorsville,ut,us,light,300,5 minutes,An oval shaped ball of light hovering up and down.,2014-03-18,40.6677778,-111.9380556
2014-03-17 20:35:00,clearwater,fl,us,light,5,5 seconds,Sitting on my back porch looking north&#44 noticed a red&#44 purplish bright light&#44 it came from east to west &#44 appeared to head north slowly,2014-03-18,27.9655556,-82.8002778
